"Ilha_01"	"Ilha_02"	"Ilha_03"	"Ilha_04"
"1"	37.3458193979933	37.3061769616027	37.2272878535774	10000
"2"	34.1324414715719	34.0994991652755	34.0339434276206	10000
"3"	18.4923076923077	18.4794657762938	18.4539101497504	10000
"4"	49.9692307692308	49.9178631051753	49.8156405990017	10000
"5"	30.2276553106212	30.2138138138138	30.1862137862138	10000
"6"	15.4092184368737	15.4046046046046	15.3954045954046	10000
"7"	28.9846153846154	28.9589315525876	28.9078202995008	10000
"8"	13.4092184368737	13.4046046046046	13.3954045954046	10000
"9"	18.4923076923077	18.4794657762938	18.4539101497504	10000
"10"	47.9692307692308	47.9178631051753	47.8156405990017	10000
"11"	23.6401337792642	23.6200333889816	23.5800332778702	10000
"12"	37.3458193979933	37.3061769616027	37.2272878535774	10000
"13"	45.4693386773547	45.4346346346346	45.3654345654346	45.3309381237525
"14"	58.3304347826087	58.2651085141903	58.1351081530782	10000
"15"	20.4192384769539	20.4096096096096	20.3904095904096	10000
"16"	28.9846153846154	28.9589315525876	28.9078202995008	10000
"17"	20.6234113712375	20.6116861435726	20.5883527454243	10000
"18"	30.2276553106212	30.2138138138138	30.1862137862138	10000
"19"	27.4434782608696	27.4217028380634	27.3783693843594	10000
"20"	16.4923076923077	16.4794657762938	16.4539101497504	10000
"21"	15.4092184368737	15.4046046046046	15.3954045954046	15.3908183632735
"22"	39.4769230769231	39.4383973288815	39.3617304492513	10000
"23"	34.4602006688963	34.4300500834725	34.3700499168053	10000
"24"	25.6401337792642	25.6200333889816	25.5800332778702	10000
"25"	26.9846153846154	26.9589315525876	26.9078202995008	10000
"26"	15.4092184368737	15.4046046046046	15.3954045954046	10000
"27"	18.4923076923077	18.4794657762938	18.4539101497504	10000
"28"	32.4432865731463	32.4216216216216	32.3784215784216	32.3568862275449
"29"	20.4923076923077	20.4794657762938	20.4539101497504	10000
"30"	45.4693386773547	45.4346346346346	45.3654345654346	10000
"31"	28.9846153846154	28.9589315525876	28.9078202995008	10000
"32"	31.1157190635451	31.0911519198664	31.0422628951747	10000
"33"	25.6401337792642	25.6200333889816	25.5800332778702	10000
"34"	20.4192384769539	20.4096096096096	20.3904095904096	20.3808383233533
"35"	25.6401337792642	25.6200333889816	25.5800332778702	10000
"36"	25.6401337792642	25.6200333889816	25.5800332778702	10000
"37"	20.8144288577154	20.8072072072072	20.7928071928072	20.785628742515
"38"	20.4192384769539	20.4096096096096	20.3904095904096	20.3808383233533
"39"	22.8184368737475	22.8092092092092	22.7908091908092	22.7816367265469
"40"	20.8184368737475	20.8092092092092	20.7908091908092	10000
"41"	20.4192384769539	20.4096096096096	20.3904095904096	20.3808383233533
"42"	39.4769230769231	39.4383973288815	39.3617304492513	10000
"43"	20.4192384769539	20.4096096096096	20.3904095904096	10000
"44"	20.8184368737475	20.8092092092092	20.7908091908092	10000
"45"	27.8284569138277	27.8142142142142	27.7858141858142	27.7716566866267
"46"	45.4693386773547	45.4346346346346	45.3654345654346	45.3309381237525
"47"	15.4092184368737	15.4046046046046	15.3954045954046	15.3908183632735
"48"	32.8384769539078	32.8192192192192	32.7808191808192	10000
"49"	46.9204013377926	46.8601001669449	46.7400998336106	10000
"50"	16.4923076923077	16.4794657762938	16.4539101497504	10000
"51"	18.4923076923077	18.4794657762938	18.4539101497504	10000
"52"	37.3458193979933	37.3061769616027	37.2272878535774	10000
"53"	28.9846153846154	28.9589315525876	28.9078202995008	10000
"54"	30.2276553106212	30.2138138138138	30.1862137862138	30.1724550898204
"55"	26.2196392785571	26.2098098098098	26.1902097902098	26.1804391217565
"56"	20.8144288577154	20.8072072072072	20.7928071928072	10000
"57"	19.8124248496994	19.8062062062062	19.7938061938062	10000
"58"	20.8144288577154	20.8072072072072	20.7928071928072	10000
"59"	20.4192384769539	20.4096096096096	20.3904095904096	20.3808383233533
"60"	36.1324414715719	36.0994991652755	36.0339434276206	10000
"61"	23.9678929765886	23.9505843071786	23.9161397670549	10000
"62"	25.6401337792642	25.6200333889816	25.5800332778702	10000
"63"	25.6401337792642	25.6200333889816	25.5800332778702	10000
"64"	39.4769230769231	39.4383973288815	39.3617304492513	10000
"65"	20.4923076923077	20.4794657762938	20.4539101497504	10000
"66"	28.9846153846154	28.9589315525876	28.9078202995008	10000
"67"	28.9846153846154	28.9589315525876	28.9078202995008	10000
"68"	45.4693386773547	45.4346346346346	45.3654345654346	45.3309381237525
"69"	37.3458193979933	37.3061769616027	37.2272878535774	10000
"70"	22.8184368737475	22.8092092092092	22.7908091908092	22.7816367265469
"71"	28.9846153846154	28.9589315525876	28.9078202995008	10000
"72"	26.8535117056856	26.8267111853088	26.773377703827		10000
"73"	36.1324414715719	36.0994991652755	36.0339434276206	10000
"74"	26.8535117056856	26.8267111853088	26.773377703827		10000
"75"	15.4092184368737	15.4046046046046	15.3954045954046	10000
"76"	45.4693386773547	45.4346346346346	45.3654345654346	45.3309381237525
"77"	20.4192384769539	20.4096096096096	20.3904095904096	10000
"78"	28.9846153846154	28.9589315525876	28.9078202995008	10000
"79"	37.4769230769231	37.4383973288815	37.3617304492513	10000
"80"	28.2236472945892	28.2118118118118	28.1882117882118	10000
"81"	20.8144288577154	20.8072072072072	20.7928071928072	20.785628742515
"82"	20.8144288577154	20.8072072072072	20.7928071928072	20.785628742515
"83"	20.4192384769539	20.4096096096096	20.3904095904096	10000
"84"	25.6401337792642	25.6200333889816	25.5800332778702	10000
"85"	26.8535117056856	26.8267111853088	26.773377703827		10000
"86"	28.9846153846154	28.9589315525876	28.9078202995008	10000
"87"	16.4923076923077	16.4794657762938	16.4539101497504	10000
"88"	45.4693386773547	45.4346346346346	45.3654345654346	45.3309381237525
"89"	22.8184368737475	22.8092092092092	22.7908091908092	10000
