"Ilha_01"	"Ilha_02"	"Ilha_03"	"Ilha_04"
"1"	35.3458193979933	35.3061769616027	35.2272878535774	10000
"2"	34.1324414715719	34.0994991652755	34.0339434276206	10000
"3"	16.4923076923077	16.4794657762938	16.4539101497504	10000
"4"	47.9692307692308	47.9178631051753	47.8156405990017	10000
"5"	28.2276553106212	28.2138138138138	28.1862137862138	10000
"6"	13.4092184368737	13.4046046046046	13.3954045954046	10000
"7"	26.9846153846154	26.9589315525876	26.9078202995008	10000
"8"	13.4092184368737	13.4046046046046	13.3954045954046	10000
"9"	16.4923076923077	16.4794657762938	16.4539101497504	10000
"10"	47.9692307692308	47.9178631051753	47.8156405990017	10000
"11"	23.6401337792642	23.6200333889816	23.5800332778702	10000
"12"	35.3458193979933	35.3061769616027	35.2272878535774	10000
"13"	43.4693386773547	43.4346346346346	43.3654345654346	43.3309381237525
"14"	56.3304347826087	56.2651085141903	56.1351081530782	10000
"15"	18.4192384769539	18.4096096096096	18.3904095904096	10000
"16"	26.9846153846154	26.9589315525876	26.9078202995008	10000
"17"	18.6234113712375	18.6116861435726	18.5883527454243	10000
"18"	28.2276553106212	28.2138138138138	28.1862137862138	10000
"19"	27.4434782608696	27.4217028380634	27.3783693843594	10000
"20"	16.4923076923077	16.4794657762938	16.4539101497504	10000
"21"	13.4092184368737	13.4046046046046	13.3954045954046	13.3908183632735
"22"	37.4769230769231	37.4383973288815	37.3617304492513	10000
"23"	32.4602006688963	32.4300500834725	32.3700499168053	10000
"24"	23.6401337792642	23.6200333889816	23.5800332778702	10000
"25"	26.9846153846154	26.9589315525876	26.9078202995008	10000
"26"	13.4092184368737	13.4046046046046	13.3954045954046	10000
"27"	16.4923076923077	16.4794657762938	16.4539101497504	10000
"28"	30.4432865731463	30.4216216216216	30.3784215784216	30.3568862275449
"29"	18.4923076923077	18.4794657762938	18.4539101497504	10000
"30"	43.4693386773547	43.4346346346346	43.3654345654346	10000
"31"	26.9846153846154	26.9589315525876	26.9078202995008	10000
"32"	29.1157190635451	29.0911519198664	29.0422628951747	10000
"33"	23.6401337792642	23.6200333889816	23.5800332778702	10000
"34"	18.4192384769539	18.4096096096096	18.3904095904096	18.3808383233533
"35"	23.6401337792642	23.6200333889816	23.5800332778702	10000
"36"	23.6401337792642	23.6200333889816	23.5800332778702	10000
"37"	18.8144288577154	18.8072072072072	18.7928071928072	18.785628742515
"38"	18.4192384769539	18.4096096096096	18.3904095904096	18.3808383233533
"39"	20.8184368737475	20.8092092092092	20.7908091908092	20.7816367265469
"40"	20.8184368737475	20.8092092092092	20.7908091908092	10000
"41"	18.4192384769539	18.4096096096096	18.3904095904096	18.3808383233533
"42"	37.4769230769231	37.4383973288815	37.3617304492513	10000
"43"	18.4192384769539	18.4096096096096	18.3904095904096	10000
"44"	20.8184368737475	20.8092092092092	20.7908091908092	10000
"45"	25.8284569138277	25.8142142142142	25.7858141858142	25.7716566866267
"46"	43.4693386773547	43.4346346346346	43.3654345654346	43.3309381237525
"47"	13.4092184368737	13.4046046046046	13.3954045954046	13.3908183632735
"48"	30.8384769539078	30.8192192192192	30.7808191808192	10000
"49"	44.9204013377926	44.8601001669449	44.7400998336106	10000
"50"	16.4923076923077	16.4794657762938	16.4539101497504	10000
"51"	16.4923076923077	16.4794657762938	16.4539101497504	10000
"52"	35.3458193979933	35.3061769616027	35.2272878535774	10000
"53"	26.9846153846154	26.9589315525876	26.9078202995008	10000
"54"	28.2276553106212	28.2138138138138	28.1862137862138	28.1724550898204
"55"	24.2196392785571	24.2098098098098	24.1902097902098	24.1804391217565
"56"	18.8144288577154	18.8072072072072	18.7928071928072	10000
"57"	17.8124248496994	17.8062062062062	17.7938061938062	10000
"58"	18.8144288577154	18.8072072072072	18.7928071928072	10000
"59"	18.4192384769539	18.4096096096096	18.3904095904096	18.3808383233533
"60"	34.1324414715719	34.0994991652755	34.0339434276206	10000
"61"	21.9678929765886	21.9505843071786	21.9161397670549	10000
"62"	23.6401337792642	23.6200333889816	23.5800332778702	10000
"63"	23.6401337792642	23.6200333889816	23.5800332778702	10000
"64"	37.4769230769231	37.4383973288815	37.3617304492513	10000
"65"	18.4923076923077	18.4794657762938	18.4539101497504	10000
"66"	26.9846153846154	26.9589315525876	26.9078202995008	10000
"67"	35.636873747495		35.6184184184184	35.5816183816184	10000
"68"	43.4693386773547	43.4346346346346	43.3654345654346	43.3309381237525
"69"	35.3458193979933	35.3061769616027	35.2272878535774	10000
"70"	20.8184368737475	20.8092092092092	20.7908091908092	20.7816367265469
"71"	26.9846153846154	26.9589315525876	26.9078202995008	10000
"72"	24.8535117056856	24.8267111853088	24.773377703827		10000
"73"	34.1324414715719	34.0994991652755	34.0339434276206	10000
"74"	24.8535117056856	24.8267111853088	24.773377703827		10000
"75"	13.4092184368737	13.4046046046046	13.3954045954046	10000
"76"	43.4693386773547	43.4346346346346	43.3654345654346	43.3309381237525
"77"	18.4192384769539	18.4096096096096	18.3904095904096	10000
"78"	26.9846153846154	26.9589315525876	26.9078202995008	10000
"79"	37.4769230769231	37.4383973288815	37.3617304492513	10000
"80"	18.8144288577154	18.8072072072072	18.7928071928072	10000
"81"	18.8144288577154	18.8072072072072	18.7928071928072	18.785628742515
"82"	18.8144288577154	18.8072072072072	18.7928071928072	18.785628742515
"83"	18.4192384769539	18.4096096096096	18.3904095904096	10000
"84"	23.6401337792642	23.6200333889816	23.5800332778702	10000
"85"	24.8535117056856	24.8267111853088	24.773377703827		10000
"86"	26.9846153846154	26.9589315525876	26.9078202995008	10000
"87"	16.4923076923077	16.4794657762938	16.4539101497504	10000
"88"	43.4693386773547	43.4346346346346	43.3654345654346	43.3309381237525
"89"	20.8184368737475	20.8092092092092	20.7908091908092	10000
"90"	18.4192384769539	18.4096096096096	18.3904095904096	10000
"91"	13.4092184368737	13.4046046046046	13.3954045954046	10000
"92"	23.6401337792642	23.6200333889816	23.5800332778702	10000
"93"	43.4693386773547	43.4346346346346	43.3654345654346	43.3309381237525
"94"	21.9678929765886	21.9505843071786	21.9161397670549	10000
